scene	path	active	text	fontSizeTMP	inkHeightCanvas	rectWidth	rectHeight	color
MainMenu	Canvas/SettingsPanel/SettingsShell/Subtitle	False	Changes apply instantly.	21	0	1010	32	AEACA3FF
MainMenu	Canvas/SettingsPanel/SettingsShell/CloseBtn/Text	False	BACK	20	0	89	36	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Tabs/AudioTabBtn/Text	False	AUDIO	21	0	177	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Tabs/GraphicsTabBtn/Text	False	GRAPHICS	21	0	177	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Tabs/InputTabBtn/Text	False	CONTROLS	21	0	177	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/PageTitle	False	AUDIO MIX	30.137	0	1100	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/MasterSliderRow/Label	False	Master Volume	23	0	332	48	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/MasterSliderRow/ValueText	False	100%	23	0	108	48	DC7769FF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/MusicSliderRow/Label	False	Music Volume	23	0	332	48	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/MusicSliderRow/ValueText	False	100%	23	0	108	48	DC7769FF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/SFXSliderRow/Label	False	SFX Volume	23	0	332	48	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/SFXSliderRow/ValueText	False	100%	23	0	108	48	DC7769FF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/InstantStatus	False	Balance game audio to hear threats and your surroundings clearly.	21	0	1050	40	AEACA3FF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/GraphicsPanel/PageTitle	False	DISPLAY QUALITY	30.137	0	1100	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/GraphicsPanel/QualityLabel	False	Quality preset	23	0	400	48	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/GraphicsPanel/QualityDropdown/Label	False	Low	22	0	518	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/GraphicsPanel/QualityDropdown/Template/Viewport/Content/Item/Item Label	False	Option	22	0	538	40	FFFFFFFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/GraphicsPanel/QualityHelp	False	Choose a lower preset for a steadier frame rate. | The change takes effect immediately.	22	0	1040	84	AEACA3FF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/PageTitle	False	MOUSE & KEYBOARD	30.137	0	1100	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/SensitivitySliderRow/Label	False	Sensitivity	23	0	332	48	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/SensitivitySliderRow/ValueText	False	100%	23	0	108	48	DC7769FF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/KeybindTitle	False	KEY BINDINGS	26.027	0	700	38	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/RebindStatusText	False	Select a binding to change it. Esc cancels.	19	0	1100	34	AEACA3FF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/FireRow/ActionLabel	False	Fire	21	0	234	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/FireRow/FireBtn/Text	False	Left Mouse	21	0	236	36	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/AimRow/ActionLabel	False	Aim	21	0	234	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/AimRow/AimBtn/Text	False	Right Mouse	21	0	236	36	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/ReloadRow/ActionLabel	False	Reload	21	0	234	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/ReloadRow/ReloadBtn/Text	False	R	21	0	236	36	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/Weapon1Row/ActionLabel	False	Weapon 1	21	0	234	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/Weapon1Row/Wep1Btn/Text	False	1	21	0	236	36	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/Weapon2Row/ActionLabel	False	Weapon 2	21	0	234	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/Weapon2Row/Wep2Btn/Text	False	2	21	0	236	36	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/InteractRow/ActionLabel	False	Interact	21	0	234	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/InteractRow/InteractBtn/Text	False	F	21	0	236	36	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/GrenadeRow/ActionLabel	False	Grenade	21	0	234	44	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/GrenadeRow/GrenadeBtn/Text	False	G	21	0	236	36	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/ResetDefaultsBtn/Text	False	RESET DEFAULTS	19	0	208	40	EBE8DAFF
MainMenu	Canvas/SettingsPanel/SettingsShell/FooterHint	False	ESC  /  BACK	18	0	600	48	AEACA3FF
MainMenu	Canvas/SettingsPanel/SettingsShell/ArtCredits	False	UI art: SunGraphica / lotus_garden	16	0	590	36	AEACA3FF
LobbyScene	Canvas/LobbyHeader/Title	True	SAFEHOUSE / SQUAD	42.466	34.073	820	62	EBE8DAFF
LobbyScene	Canvas/LobbyHeader/RoomCodeText	True	ROOM CODE: --	28	18.886	380	48	DC7769FF
LobbyScene	Canvas/LobbyHeader/CopyCodeBtn/Text	True	COPY	21	15.506	90	36	EBE8DAFF
LobbyScene	Canvas/RosterPanel/RosterTitle	True	YOUR OPERATORS	35.616	24.024	650	52	EBE8DAFF
LobbyScene	Canvas/RosterPanel/PlayerCountText	True	0/4 Players	22	21.105	250	38	AEACA3FF
LobbyScene	Canvas/RosterPanel/RosterHint	True	Share your code. Choose an operator. Mark yourself ready. | The squad leader launches when everyone is ready.	22	46.403	900	68	AEACA3FF
LobbyScene	Canvas/MissionPanel/MissionTitle	True	DEPLOYMENT	35.616	24.024	470	52	EBE8DAFF
LobbyScene	Canvas/MissionPanel/DifficultyLabel	True	DIFFICULTY  /  LEADER ONLY	18	13.709	430	32	AEACA3FF
LobbyScene	Canvas/MissionPanel/DifficultyDropdown/Label	True	Easy	22	20.337	448	44	EBE8DAFF
LobbyScene	Canvas/MissionPanel/DifficultyDropdown/Template/Viewport/Content/Item/Item Label	False	Option	22	0	468	40	FFFFFFFF
LobbyScene	Canvas/MissionPanel/StatusText	True	Waiting for your squad...	23	22.064	510	100	AEACA3FF
LobbyScene	Canvas/MissionPanel/ReadyBtn/Text	True	READY	24	17.163	470	52	EBE8DAFF
LobbyScene	Canvas/MissionPanel/StartGameBtn/Text	True	DEPLOY SQUAD	24	21.907	470	52	EBE8DAFF
LobbyScene	Canvas/MissionPanel/LeaveBtn/Text	True	LEAVE ROOM	21	15.506	470	44	EBE8DAFF
LobbyScene	Canvas/MissionPanel/CharacterDropdown/Label	True	Clove	22	16.756	448	44	EBE8DAFF
LobbyScene	Canvas/MissionPanel/CharacterDropdown/Template/Viewport/Content/Item/Item Label	False	Option	22	0	468	40	FFFFFFFF
LobbyScene	Canvas/MissionPanel/CharacterLabel	True	YOUR OPERATOR	18	13.291	480	32	AEACA3FF
GameScene	Canvas/MinimalHUDRoot/InteractionPrompt	False	[F] Interact	23	0	640	48	EBE8DAFF
GameScene	Canvas/MinimalHUDRoot/HealthPanel/HealthText	True	100 / 100	39.726	31.56	250	58	EBE8DAFF
GameScene	Canvas/MinimalHUDRoot/WeaponPanel/PrimaryWeaponKeyText	True	1	16	11.442	24	28	EBE8DAFF
GameScene	Canvas/MinimalHUDRoot/WeaponPanel/WeaponNameText	True	AKM	21.918	14.784	205	32	EBE8DAFF
GameScene	Canvas/MinimalHUDRoot/WeaponPanel/CurrentAmmoText	True	24	58.904	39.732	104	86	EBE8DAFF
GameScene	Canvas/MinimalHUDRoot/WeaponPanel/ReserveAmmoText	True	/ 120	28	22.244	82	42	AEACA3FF
GameScene	Canvas/MinimalHUDRoot/WeaponPanel/SecondaryWeaponSlot/SlotKey	True	2	16	11.628	24	24	EBE8DAFF
GameScene	Canvas/MinimalHUDRoot/WeaponPanel/SecondaryWeaponSlot/UnusedWeaponNameText	True	EMPTY	16	11.442	84	24	AEACA3FF
GameScene	Canvas/MinimalHUDRoot/WeaponPanel/FragSlot/GrenadeKeyText	True	G	16	11.814	20	24	EBE8DAFF
GameScene	Canvas/MinimalHUDRoot/WeaponPanel/FragSlot/GrenadeCountText	True	2	22	15.988	32	28	EBE8DAFF
GameScene	Canvas/MinimalHUDRoot/WeaponPanel/FragSlot/FragLabel	False	FRAG	16	0	52	24	EBE8DAFF
GameScene	Canvas/MinimalHUDRoot/InfectionPanel/InfectionStageText	True	INFECTION 0%	18	13.291	250	30	AEACA3FF
GameScene	Canvas/MinimalHUDRoot/InfectionPanel/SepsisWarning	False	SEPSIS - TREAT NOW	17	0	268	22	FF6F6FFF
GameScene	Canvas/PausePanel/PauseShell/Title	False	MENU	47.945	0	504	70	EBE8DAFF
GameScene	Canvas/PausePanel/PauseShell/ResumeButton/Text	False	RESUME	28	0	448	56	DC7769FF
GameScene	Canvas/PausePanel/PauseShell/SettingsButton/Text	False	SETTINGS	28	0	448	52	EBE8DAFF
GameScene	Canvas/PausePanel/PauseShell/LeaveMatchButton/Text	False	LEAVE MATCH	28	0	448	52	EBE8DAFF
GameScene	Canvas/PausePanel/PauseShell/OnlineNotice	False	Online play continues while this menu is open.	22	0	504	66	AEACA3FF
GameScene	Canvas/SettingsPanel/SettingsShell/Title	False	SETTINGS	43.836	0	960	64	36C7DBFF
GameScene	Canvas/SettingsPanel/SettingsShell/Subtitle	False	Changes apply instantly.	21	0	1010	32	AEACA3FF
GameScene	Canvas/SettingsPanel/SettingsShell/CloseBtn/Text	False	BACK	17.75	0	89	36	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Tabs/AudioTabBtn/Text	False	AUDIO	21	0	177	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Tabs/GraphicsTabBtn/Text	False	GRAPHICS	19.2	0	177	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Tabs/InputTabBtn/Text	False	CONTROLS	21	0	177	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/PageTitle	False	AUDIO MIX	30.137	0	1100	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/MasterSliderRow/Label	False	Master Volume	23	0	332	48	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/MasterSliderRow/ValueText	False	100%	16.65	0	108	48	DC7769FF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/MusicSliderRow/Label	False	Music Volume	23	0	332	48	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/MusicSliderRow/ValueText	False	100%	16.65	0	108	48	DC7769FF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/SFXSliderRow/Label	False	SFX Volume	23	0	332	48	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/SFXSliderRow/ValueText	False	100%	16.65	0	108	48	DC7769FF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/AudioPanel/InstantStatus	False	Balance game audio to hear threats and your surroundings clearly.	21	0	1050	40	AEACA3FF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/GraphicsPanel/PageTitle	False	DISPLAY QUALITY	30.137	0	1100	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/GraphicsPanel/QualityLabel	False	Quality preset	23	0	400	48	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/GraphicsPanel/QualityDropdown/Label	False	Low	22	0	518	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/GraphicsPanel/QualityDropdown/Template/Viewport/Content/Item/Item Label	False	Option	22	0	538	40	FFFFFFFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/GraphicsPanel/QualityHelp	False	Choose a lower preset for a steadier frame rate. | The change takes effect immediately.	22	0	1040	84	AEACA3FF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/PageTitle	False	MOUSE & KEYBOARD	30.137	0	1100	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/SensitivitySliderRow/Label	False	Sensitivity	23	0	332	48	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/SensitivitySliderRow/ValueText	False	100%	23	0	108	48	DC7769FF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/KeybindTitle	False	KEY BINDINGS	26.027	0	700	38	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/RebindStatusText	False	Select a binding to change it. Esc cancels.	19	0	1100	34	AEACA3FF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/FireRow/ActionLabel	False	Fire	21	0	234	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/FireRow/FireBtn/Text	False	Left Mouse	21	0	236	36	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/AimRow/ActionLabel	False	Aim	21	0	234	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/AimRow/AimBtn/Text	False	Right Mouse	21	0	236	36	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/ReloadRow/ActionLabel	False	Reload	21	0	234	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/ReloadRow/ReloadBtn/Text	False	R	21	0	236	36	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/Weapon1Row/ActionLabel	False	Weapon 1	21	0	234	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/Weapon1Row/Wep1Btn/Text	False	1	21	0	236	36	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/Weapon2Row/ActionLabel	False	Weapon 2	21	0	234	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/Weapon2Row/Wep2Btn/Text	False	2	21	0	236	36	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/InteractRow/ActionLabel	False	Interact	21	0	234	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/InteractRow/InteractBtn/Text	False	F	21	0	236	36	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/GrenadeRow/ActionLabel	False	Grenade	21	0	234	44	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/Content/InputPanel/GrenadeRow/GrenadeBtn/Text	False	G	21	0	236	36	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/ResetDefaultsBtn/Text	False	RESET DEFAULTS	14.6	0	208	40	EBE8DAFF
GameScene	Canvas/SettingsPanel/SettingsShell/FooterHint	False	ESC  /  BACK	18	0	600	48	AEACA3FF
GameScene	Canvas/SettingsPanel/SettingsShell/ArtCredits	False	UI art: SunGraphica / lotus_garden	16	0	590	36	AEACA3FF
GameScene	CampaignWorld/Laboratory/Props/LabFitout_02/A_Fitout/DoorPlaque_A  /  RECEPTION_GOWNING/PrintedLabel	True	A  /  RECEPTION | GOWNING	0.65	0.124	0.52	0.23	1A292BFF
GameScene	CampaignWorld/Laboratory/Props/LabFitout_02/B_Fitout/DoorPlaque_B  /  OPERATIONS/PrintedLabel	True	B  /  OPERATIONS	0.75	0.143	0.52	0.23	1A292BFF
GameScene	CampaignWorld/Laboratory/Props/LabFitout_02/C_Fitout/DoorPlaque_C  /  RESEARCH_SAMPLE PREPARATION/PrintedLabel	True	C  /  RESEARCH | SAMPLE PREPARATION	0.65	0.199	0.52	0.23	1A292BFF
GameScene	CampaignWorld/Laboratory/Props/LabFitout_02/C_Fitout/DoorPlaque_C-03_ISOLATED/PrintedLabel	True	C-03 | ISOLATED	0.65	0.123	0.32	0.24	1A292BFF
GameScene	CampaignWorld/Laboratory/Props/LabFitout_02/D_Fitout/DoorPlaque_D  /  POWER_AUTHORIZED STAFF/PrintedLabel	True	D  /  POWER | AUTHORIZED STAFF	0.65	0.199	0.52	0.23	1A292BFF
GameScene	CampaignWorld/Laboratory/Props/LabFitout_02/E_Fitout/DoorPlaque_E  /  CONTAINMENT_CONTROLLED ACCESS/PrintedLabel	True	E  /  CONTAINMENT | CONTROLLED ACCESS	0.55	0.168	0.52	0.23	1A292BFF
GameScene	CampaignWorld/Laboratory/Props/LabFitout_02/F_Fitout/DoorPlaque_F  /  TRANSFER_DISPATCH/PrintedLabel	True	F  /  TRANSFER | DISPATCH	0.7	0.134	0.52	0.23	1A292BFF
GameScene	CampaignWorld/Laboratory/Props/LabFitout_02/SupplyStore/DoorPlaque_SUPPLIES/PrintedLabel	True	SUPPLIES	0.75	0.055	0.52	0.23	1A292BFF
GameScene	CampaignWorld/Laboratory/Props/LabFitout_02/FinalDetails/DoorPlaque_SUPPLIES  >/PrintedLabel	True	SUPPLIES  >	0.75	0.055	0.9	0.18	1A292BFF
GameScene	CampaignWorld/Laboratory/Props/LabFitout_02/FinalDetails/DoorPlaque_SUPPLIES  >/PrintedLabel	True	SUPPLIES  >	0.75	0.055	0.9	0.18	1A292BFF
